"Column","Units","Data type","Description"
"wsi_series","","Integer","WIGOS identifier series"
"wsi_issuer","","Integer","WIGOS issuer of identifier"
"wsi_issue_number","","Integer","WIGOS issue number"
"wsi_local","","Character","WIGOS local identifier"
"wmo_block_number","","Integer","WMO block number"
"wmo_station_number","","Integer","WMO station number"
"station_type","","Integer","Type of observing station, encoding using code table 0 02 001 (set to 0, automatic)"
"year","","Integer","Year (UTC), the time of observation (based on the actual time the barometer is read)"
"month","","Integer","Month (UTC), the time of observation (based on the actual time the barometer is read)"
"day","","Integer","Day (UTC), the time of observation (based on the actual time the barometer is read)"
"hour","","Integer","Hour (UTC), the time of observation (based on the actual time the barometer is read)"
"minute","","Integer","Minute (UTC), the time of observation (based on the actual time the barometer is read)"
"latitude","degrees","Decimal","Latitude of the station (to 5 decimal places)"
"longitude","degrees","Decimal","Longitude of the station (to 5 decimal places)"
"station_height_above_msl","meters","Decimal","Height of the station ground above mean sea level (to 1 decimal place)"
"barometer_height_above_msl","meters","Decimal","Height of the barometer above mean sea level (to 1 decimal place), typically height of station ground plus the height of the sensor above local ground"
"station_pressure","Pa","Decimal","Pressure observed at the station level to the nearest 10 pascals"
"msl_pressure","Pa","Decimal","Pressure reduced to mean sea level to the nearest 10 pascals"
"geopotential_height","gpm","Integer","Geoptential height expressed in geopotential meters (gpm) to 0 decimal places"
"thermometer_height","meters","Decimal","Height of thermometer or temperature sensor above the local ground to 2 decimal places"
"air_temperature","Kelvin","Decimal","Instantaneous air temperature to 2 decimal places"
"dewpoint_temperature","Kelvin","Decimal","Instantaneous dewpoint temperature to 2 decimal places"
"relative_humidity","%","Integer","Instantaneous relative humidity to zero decimal places"
"method_of_ground_state_measurement","code table","Integer","Method of observing the state of the ground, encoded using code table 0 02 176"
"ground_state","code table","Integer","State of the ground encoded using code table 0 20 062"
"method_of_snow_depth_measurement","code table","Integer","Method of observing the snow depth encoded using code table 0 02 177"
"snow_depth","meters","Decimal","Snow depth at time of observation to 2 decimal places"
"precipitation_intensity","kg m-2 h-1","Decimal","Intensity of precipitation at time of observation to 5 decimal places"
"anemometer_height","meters","Decimal","Height of the anemometer above local ground  to 2 decimal place"
"time_period_of_wind","minutes","Integer","Defines the time period over which the wind speed and direction have been averaged. Set to -10 to indicate a measurement period over the preceeding 10 minutes."
"wind_direction","degrees","Integer","Wind direction (at anemometer height) averaged from the caterisan components over the indicated time period, 0 decimal places"
"wind_speed","ms-1","Decimal","Wind speed (at anemometer height) averaged from the cartesian components over the indicated time period, 1 decimal place"
"maximum_wind_gust_direction_10_minutes","degrees","Integer","Highest 3 second average over the preceeding 10 minutes, 0 decimal places"
"maximum_wind_gust_speed_10_minutes","ms-1","Decimal","Highest 3 second average over the preceeding 10 minutes, 1 decimal place"
"maximum_wind_gust_direction_1_hour","degrees","Integer","Highest 3 second average over the preceeding hour, 0 decimal places"
"maximum_wind_gust_speed_1_hour","ms-1","Decimal","Highest 3 second average over the preceeding hour, 1 decimal place"
"maximum_wind_gust_direction_3_hours","degrees","Integer","Highest 3 second average over the preceeding 3 hours, 0 decimal places"
"maximum_wind_gust_speed_3_hours","ms-1","Decimal","Highest 3 second average over the preceeding 3 hours, 1 decimal place"
"rain_sensor_height","meters","Decimal","Height of the rain gauge above local ground to 2 decimal place"
"total_precipitation_1_hour","kg m-2","Decimal","Total precipitation over the past hour, 1 decimal place"
"total_precipitation_3_hours","kg m-2","Decimal","Total precipitation over the past 3 hours, 1 decimal place"
"total_precipitation_6_hours","kg m-2","Decimal","Total precipitation over the past 6 hours, 1 decimal place"
"total_precipitation_12_hours","kg m-2","Decimal","Total precipitation over the past 12 hours, 1 decimal place"
"total_precipitation_24_hours","kg m-2","Decimal","Total precipitation over the past 24 hours, 1 decimal place"
