@id,dct:description,rdf:type,rdfs:label,skos:notation
<http://codes.wmo.int/wmdr/FacilityType/airFixed>,"'Airborne station/platform, at fixed position'@en",skos:Concept,Air (fixed),airFixed
<http://codes.wmo.int/wmdr/FacilityType/airMobile>,"'Airborne station/platform, moving around'@en",skos:Concept,Air (mobile),airMobile
<http://codes.wmo.int/wmdr/FacilityType/lakeRiverFixed>,"'Station/platform at lake/river surface, at fixed position'@en",skos:Concept,Lake/River (fixed),lakeRiverFixed
<http://codes.wmo.int/wmdr/FacilityType/lakeRiverMobile>,"'station/platform at lake/river surface, moving around'@en",skos:Concept,Lake/River (mobile),lakeRiverMobile
<http://codes.wmo.int/wmdr/FacilityType/landFixed>,"'Station/platform on solid terrain, at fixed position'@en",skos:Concept,Land (fixed),landFixed
<http://codes.wmo.int/wmdr/FacilityType/landMobile>,"'Station/platform on solid terrain, moving around'@en",skos:Concept,Land (mobile),landMobile
<http://codes.wmo.int/wmdr/FacilityType/landOnIce>,"'Station/platform on ice-covered ground, moving with the ice'@en",skos:Concept,Land (on ice),landOnIce
<http://codes.wmo.int/wmdr/FacilityType/seaFixed>,"'Station/platform at sea surface, at fixed position'@en",skos:Concept,Sea (fixed),seaFixed
<http://codes.wmo.int/wmdr/FacilityType/seaMobile>,"'Station/platform at sea surface, moving around'@en",skos:Concept,Sea (mobile),seaMobile
<http://codes.wmo.int/wmdr/FacilityType/seaOnIce>,"'Station/platform on floating ice, moving with the ice'@en",skos:Concept,Sea (on ice),seaOnIce
<http://codes.wmo.int/wmdr/FacilityType/spaceBased>,'Satellite platform in orbit'@en,skos:Concept,Space-based,spaceBased
<http://codes.wmo.int/wmdr/FacilityType/underwaterFixed>,"'Station/platform under water, at fixed horizontal position'@en",skos:Concept,Underwater (fixed),underwaterFixed
<http://codes.wmo.int/wmdr/FacilityType/underwaterMobile>,"'Station/platform under water, moving around also horizontally'@en",skos:Concept,Underwater (mobile),underwaterMobile
<http://codes.wmo.int/wmdr/FacilityType/unknown>,'The station/platform type is unknown.'@en,skos:Concept,unknown,unknown
